Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
BTN26,"Bitcoin Futures",64120,735,+1.16%,64245,63070,1166,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTQ26,"Bitcoin Futures",64380,740,+1.16%,64470,63340,115,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTU26,"Bitcoin Futures",64390,510,+0.80%,64400,64360,6,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTV26,"Bitcoin Futures",64160,950,+1.50%,64355,62650,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTX26,"Bitcoin Futures",64435,950,+1.50%,64465,63000,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTZ26,"Bitcoin Futures",64705,895,+1.40%,64705,63300,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTH27,"Bitcoin Futures",65655,995,+1.54%,65655,65655,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTM27,"Bitcoin Futures",66535,1010,+1.54%,66535,66535,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTU27,"Bitcoin Futures",67400,1020,+1.54%,67400,67400,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTZ27,"Bitcoin Futures",68335,1040,+1.55%,68335,68335,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAN26,"Ether Micro",1776.5,25.5,+1.46%,1781.5,1740,3099,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAQ26,"Ether Micro",1785,28,+1.59%,1785,1764,104,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAU26,"Ether Micro",1762.5,6,+0.34%,1762.5,1747.5,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAV26,"Ether Micro",1770,6,+0.34%,1770,1770,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAX26,"Ether Micro",1778.5,6,+0.34%,1778.5,1778.5,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAZ26,"Ether Micro",1786,6,+0.34%,1786,1758,3,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
